review_num,title,stars,text
1,Not bad,3,"Expected it to be very funny, wasn't very funny. The video quality in the beginning of the movie was fuzzy but that went away. The movie doesn't really have a point, just kinda random comedy."
2,Five Stars,5,funny
3,Two Stars,2,Stupidest waste of 1 and a half hours.
4,Five Stars,5,It's great thank you
5,Five Stars,5,It worked as brand new and we're happy with this classic comedy.
6,It doesn't get any better than Napoleon Dynamite!,5,"This is the best movie, ever.  So quirky and funny!  I've probably watched it 100 times!"
7,Pretty disappointed!,1,"When I opened the actual movie and tried to play it on my DVD, I found that it was a Blu Ray DVD and would not play on my player. I specifically looked for a movie that was not Blu Ray and that information was neither listed in the details of the product description on Amazon, nor on the packaging of the movie itself. Pretty disappointed!"
8,Five Stars,5,Classic.
9,Not my show.,2,Was not what I expected. Not my type of show.
10,Five Stars,5,One of my favorite movies.
11,Four Stars,4,Hilarious movie!
12,One Star,1,Finally got a chance to watch this show only to have the disc scratched won't play.
13,Five Stars,5,Hysterical movie!
14,Great Flick,5,I'd give it 6 stars if that was an option
15,Classic,5,"Uhhh, pretty much the greatest movie ever, what'd you think!"
16,Classic movie!,5,Needed a new one as mine had been overused & abused. Glad I found it. Classic movie!
17,Five Stars,5,Funny
18,Hehehe,3,All around a stupid humor movie. Still funny though!
19,Love this movie,5,Love this movie. I couldn't find it on demand to stream so I bought the disc. Glad I did. I can watch it again and again (and I will).
20,Five Stars,5,wonderful movie
21,Five Stars,5,Good movie
22,A must see!,5,Classic movie! A must watch. Great for family nights and some good laughs
23,Party fun,5,"Watched it as part of a party, just for fun. Most of us had seen it before, but a few were Napolean Dynamite virgins."
24,One of my favorite films that makes me chuckle & smile,5,"It's Napoleon Dynamite. What can I say; the more I watch it the more I love it, the characters, the deadpan, the 'intensity' of the simplistic."
25,Five Stars,5,Tots!
26,Flippin sweet!!,5,Grab some tots and your buddy and enjoy this masterpiece ;)
27,Five Stars,5,"Awesome movie, cracks me up everytime. A classic for my family for sure."
28,Five Stars,5,Great movie!
29,Five Stars,5,a classic!
30,Excellent streaming quality,4,"A coming of age movie, I guess.  Excellent streaming quality.Jim"
31,Very fun to watch (if you like that kind of humor),4,"This is one of the all-time ""dumb weird humor"" classics! Very fun to watch (if you like that kind of humor)!"
32,Mint condition,5,My all time favorite movie . Mint condition. I would def. Order from this company again
33,Sweet!,5,"I don't know why, but this is one of my favorite movies.  It's great for all ages and has no sexual situations or foul language.  The soundtrack is a little weird but wonderful."
34,Five Stars,5,Hilarious.
